n,n_w,p,kappa,noise_std,lambda,R_squared_ind,R_squared_sum
7500,200,5000,0.05,0.5,2.3309090909090906,0.4594476039836543,0.7980287028079751
7500,200,5000,0.05,0.5,2.4318181818181817,0.4596467142274296,0.7985241167432762
7500,200,5000,0.05,0.5,2.5327272727272723,0.4598432517244107,0.7990139722011852
7500,200,5000,0.05,0.5,2.6336363636363638,0.4600372605311354,0.7994983593809175
7500,200,5000,0.05,0.5,2.7345454545454544,0.4602287837491632,0.7999773665619673
7500,200,5000,0.05,0.5,2.835454545454545,0.4604178635503427,0.8004510801547939
7500,200,5000,0.05,0.5,2.936363636363636,0.460604541201286,0.8009195847499111
7500,200,5000,0.05,0.5,3.037272727272727,0.4607888570870771,0.8013829631654327
7500,200,5000,0.05,0.5,3.1381818181818177,0.4609708507342437,0.8018412964931304
7500,200,5000,0.05,0.5,3.239090909090909,0.46115056083301803,0.802294664143065
7500,200,5000,0.05,0.5,3.34,0.4613280252589137,0.8027431438868355
7500,200,5000,0.05,0.5,3.4409090909090905,0.4615032810936411,0.8031868118994965
7500,200,5000,0.05,0.5,3.541818181818181,0.46167636464538564,0.8036257428001979
7500,200,5000,0.05,0.5,3.6427272727272726,0.4618473114684723,0.804060009691584
7500,200,5000,0.05,0.5,3.743636363636363,0.4620161563824376,0.804489684198003
7500,200,5000,0.05,0.5,3.8445454545454543,0.4621829334905277,0.804914836502563
7500,200,5000,0.05,0.5,3.945454545454545,0.4623476761976466,0.8053355353830799
7500,200,5000,0.05,0.5,4.046363636363636,0.4625104172277691,0.8057518482469529
7500,200,5000,0.05,0.5,4.147272727272727,0.46267118864084134,0.8061638411650061
7500,200,5000,0.05,0.5,4.248181818181818,0.46283002184918287,0.8065715789043292
7500,200,5000,0.05,0.5,4.349090909090909,0.4629869476334081,0.8069751249601589
7500,200,5000,0.05,0.5,4.449999999999999,0.4631419961578862,0.8073745415868231
7500,200,5000,0.05,0.5,4.550909090909091,0.46329519698575117,0.8077698898277891
7500,200,5000,0.05,0.5,4.651818181818181,0.463446579093479,0.8081612295448426
7500,200,5000,0.05,0.5,4.752727272727272,0.46359617088504673,0.8085486194464242
