n,n_w,p,kappa,noise_std,lambda,iter,R_squared_ind,R_squared_sum
7500,200,5000,0.9,2.0,10.0,15,0.0044139135605537,0.012371961211847
7500,200,5000,0.9,2.0,10.0,16,0.0094480230326773,0.0046614221719249
7500,200,5000,0.9,2.0,10.0,17,0.0062159378755198,0.1020557719663501
7500,200,5000,0.9,2.0,10.0,18,0.0235848453730593,0.039905448330506
7500,200,5000,0.9,2.0,10.0,19,0.0114777564830901,0.5972967843305854
7500,200,5000,0.9,2.0,10.0,20,0.0111928826438634,0.5616107810644886
7500,200,5000,0.9,3.0,10.0,1,0.0033344087926549,0.0719301924857937
7500,200,5000,0.9,3.0,10.0,2,0.0047037846179112,1.213533931406628
7500,200,5000,0.9,3.0,10.0,3,0.0023734029322864,0.5726900531611001
7500,200,5000,0.9,3.0,10.0,4,0.0120914106242508,0.5126277604794814
7500,200,5000,0.9,3.0,10.0,5,0.0027307281189121,0.0298450217210084
7500,200,5000,0.9,3.0,10.0,6,0.0117230483476279,0.0168252291947097
7500,200,5000,0.9,3.0,10.0,7,0.0087398535049592,0.0772200874196077
7500,200,5000,0.9,3.0,10.0,8,0.0119980732842847,0.0903514513489235
7500,200,5000,0.9,3.0,10.0,9,0.0142216175147405,0.8132731954149345
7500,200,5000,0.9,3.0,10.0,10,0.0045211792709402,0.7249929483662275
7500,200,5000,0.9,3.0,10.0,11,0.0097397898677615,1.0203282801844489
7500,200,5000,0.9,3.0,10.0,12,0.0021250968991497,1.201215834120999
7500,200,5000,0.9,3.0,10.0,13,0.0035623473096634,0.8977817694426236
7500,200,5000,0.9,3.0,10.0,14,0.0015624584207177,0.0518469047689101
7500,200,5000,0.9,3.0,10.0,15,0.002984760463621,1.1844223936642653
7500,200,5000,0.9,3.0,10.0,16,0.0091385951370607,0.3637414848130756
7500,200,5000,0.9,3.0,10.0,17,0.0048261177516246,0.0188237646601219
7500,200,5000,0.9,3.0,10.0,18,0.0160798532543896,0.441883843132968
7500,200,5000,0.9,3.0,10.0,19,0.0108508415976707,1.149463366603541
7500,200,5000,0.9,3.0,10.0,20,0.0033323697740605,1.1991316773736518
7500,200,10000,0.05,0.5,10.0,1,0.3585388735422072,3.623070870001484
7500,200,10000,0.05,0.5,10.0,2,0.3467997142198212,0.7665738530680034
7500,200,10000,0.05,0.5,10.0,3,0.3352541376808767,0.7388910117554977
