n,n_w,p,rank,alpha,kappa,noise_std,lambda,R_squared_ind,R_squared_sum
7500,1000,5000,5,0.1,0.05,0.5,6.468181818181818,0.4837194458115614,1.189460407623376
7500,1000,5000,5,0.1,0.05,0.5,6.569090909090908,0.48404632217014554,1.1906030473417533
7500,1000,5000,5,0.1,0.05,0.5,6.67,0.4843636009028362,1.1917197242792226
7500,1000,5000,5,0.1,0.05,0.5,6.7709090909090905,0.4846716397765626,1.1928112752380913
7500,1000,5000,5,0.1,0.05,0.5,6.871818181818181,0.4849707798855324,1.1938785018224727
7500,1000,5000,5,0.1,0.05,0.5,6.972727272727273,0.48526134659364084,1.1949221722766783
7500,1000,5000,5,0.1,0.05,0.5,7.073636363636363,0.48554365041397834,1.1959430232084052
7500,1000,5000,5,0.1,0.05,0.5,7.174545454545454,0.48581798783028407,1.1969417612051623
7500,1000,5000,5,0.1,0.05,0.5,7.275454545454545,0.4860846420647723,1.197919064351668
7500,1000,5000,5,0.1,0.05,0.5,7.376363636363636,0.48634388379637566,1.19887558365531
7500,1000,5000,5,0.1,0.05,0.5,7.477272727272727,0.48659597183310116,1.1998119443861768
7500,1000,5000,5,0.1,0.05,0.5,7.578181818181818,0.48684115374188347,1.2007287473376465
7500,1000,5000,5,0.1,0.05,0.5,7.679090909090909,0.48707966643903805,1.2016265700130269
7500,1000,5000,5,0.1,0.05,0.5,7.779999999999999,0.4873117367441564,1.2025059677433196
7500,1000,5000,5,0.1,0.05,0.5,7.880909090909091,0.4875375819000576,1.2033674747407719
7500,1000,5000,5,0.1,0.05,0.5,7.981818181818181,0.48775741006119533,1.2042116050925273
7500,1000,5000,5,0.1,0.05,0.5,8.082727272727272,0.48797142075272576,1.2050388536983392
7500,1000,5000,5,0.1,0.05,0.5,8.183636363636364,0.488179805302274,1.2058496971560408
7500,1000,5000,5,0.1,0.05,0.5,8.284545454545453,0.48838274724626557,1.2066445945981399
7500,1000,5000,5,0.1,0.05,0.5,8.385454545454545,0.4885804227125562,1.207423988482719
7500,1000,5000,5,0.1,0.05,0.5,8.486363636363636,0.48877300078094876,1.2081883053415143
7500,1000,5000,5,0.1,0.05,0.5,8.587272727272726,0.4889606438230739,1.2089379564879121
7500,1000,5000,5,0.1,0.05,0.5,8.688181818181818,0.48914350782299465,1.2096733386873373
7500,1000,5000,5,0.1,0.05,0.5,8.789090909090909,0.48932174267979417,1.2103948347923812
7500,1000,5000,5,0.1,0.05,0.5,8.889999999999999,0.48949549249331425,1.2111028143448228
7500,1000,5000,5,0.1,0.05,0.5,8.99090909090909,0.48966489583412365,1.2117976341465515
7500,1000,5000,5,0.1,0.05,0.5,9.091818181818182,0.4898300859987206,1.212479638801267
7500,1000,5000,5,0.1,0.05,0.5,9.192727272727272,0.48999119125089985,1.213149161228699
7500,1000,5000,5,0.1,0.05,0.5,9.293636363636365,0.4901483350501442,1.2138065231529667
7500,1000,5000,5,0.1,0.05,0.5,9.394545454545456,0.490301636267849,1.214452035566592
7500,1000,5000,5,0.1,0.05,0.5,9.495454545454544,0.4904512093921218,1.2150859991715826
7500,1000,5000,5,0.1,0.05,0.5,9.596363636363636,0.49059716472185244,1.2157087047989041
7500,1000,5000,5,0.1,0.05,0.5,9.697272727272727,0.490739608550702,1.2163204338075677
7500,1000,5000,5,0.1,0.05,0.5,9.798181818181815,0.49087864334161324,1.21692145846449
7500,1000,5000,5,0.1,0.05,0.5,9.899090909090908,0.4910143678924008,1.2175120423062062
7500,1000,5000,5,0.1,0.05,0.5,10.0,0.49114687749295083,1.2180924404834361
7500,1000,5000,5,0.1,0.05,2.0,0.01,0.15081760295825153,0.5643049039981812
7500,1000,5000,5,0.1,0.05,2.0,0.1109090909090909,0.1531383768891828,0.5753684362991567
7500,1000,5000,5,0.1,0.05,2.0,0.2118181818181818,0.1552427238714153,0.5853991916882686
7500,1000,5000,5,0.1,0.05,2.0,0.3127272727272727,0.15716214744036514,0.5945510100650135
7500,1000,5000,5,0.1,0.05,2.0,0.4136363636363636,0.1589217972668362,0.6029461417954742
7500,1000,5000,5,0.1,0.05,2.0,0.5145454545454545,0.16054208626164262,0.6106834166776778
7500,1000,5000,5,0.1,0.05,2.0,0.6154545454545455,0.16203981947972437,0.6178439014193478
7500,1000,5000,5,0.1,0.05,2.0,0.7163636363636363,0.1634290028138076,0.6244949286864558
7500,1000,5000,5,0.1,0.05,2.0,0.8172727272727273,0.16472143531953623,0.6306930353274308
7500,1000,5000,5,0.1,0.05,2.0,0.9181818181818182,0.16592715154123433,0.6364861492714389
7500,1000,5000,5,0.1,0.05,2.0,1.019090909090909,0.1670547574973461,0.6419152463512211
7500,1000,5000,5,0.1,0.05,2.0,1.12,0.16811168977697039,0.6470156252321096
7500,1000,5000,5,0.1,0.05,2.0,1.220909090909091,0.16910441806028453,0.6518179020920093
7500,1000,5000,5,0.1,0.05,2.0,1.3218181818181818,0.1700386053517416,0.6563487962603263
7500,1000,5000,5,0.1,0.05,2.0,1.4227272727272726,0.17091923615663626,0.6606317576434483
7500,1000,5000,5,0.1,0.05,2.0,1.5236363636363637,0.1717507200436284,0.6646874728289508
7500,1000,5000,5,0.1,0.05,2.0,1.6245454545454543,0.17253697608639906,0.6685342770517482
7500,1000,5000,5,0.1,0.05,2.0,1.7254545454545454,0.17328150229257264,0.6721884923257575
7500,1000,5000,5,0.1,0.05,2.0,1.8263636363636364,0.1739874331295055,0.6756647070947017
7500,1000,5000,5,0.1,0.05,2.0,1.9272727272727272,0.17465758752696464,0.6789760091443001
7500,1000,5000,5,0.1,0.05,2.0,2.028181818181818,0.17529450919705505,0.6821341808495245
7500,1000,5000,5,0.1,0.05,2.0,2.129090909090909,0.17590050070800128,0.6851498638356833
7500,1000,5000,5,0.1,0.05,2.0,2.2299999999999995,0.1764776524431241,0.6880326986245684
7500,1000,5000,5,0.1,0.05,2.0,2.3309090909090906,0.17702786734328146,0.6907914436864169
7500,1000,5000,5,0.1,0.05,2.0,2.4318181818181817,0.17755288215145681,0.6934340774322488
7500,1000,5000,5,0.1,0.05,2.0,2.5327272727272723,0.17805428573862883,0.6959678859927201
7500,1000,5000,5,0.1,0.05,2.0,2.6336363636363638,0.1785335349807373,0.6983995390905139
7500,1000,5000,5,0.1,0.05,2.0,2.7345454545454544,0.1789919685702898,0.7007351558879708
7500,1000,5000,5,0.1,0.05,2.0,2.835454545454545,0.17943081907758443,0.7029803623537195
