n,n_w,p,df,kappa,noise_std,lambda,R_squared_ind,R_squared_sum
7500,1000,5000,3.0,0.05,0.5,5.156363636363636,0.03742321549676912,59.89452161216847
7500,1000,5000,3.0,0.05,0.5,5.257272727272727,0.03747127417949036,59.818687234760674
7500,1000,5000,3.0,0.05,0.5,5.3581818181818175,0.03751763513915443,59.7448038505034
7500,1000,5000,3.0,0.05,0.5,5.459090909090909,0.03756237461868656,59.67279603208482
7500,1000,5000,3.0,0.05,0.5,5.56,0.03760556460223495,59.60259240821805
7500,1000,5000,3.0,0.05,0.5,5.66090909090909,0.03764727310411531,59.53412537948755
7500,1000,5000,3.0,0.05,0.5,5.761818181818182,0.037687564434420326,59.46733085881719
7500,1000,5000,3.0,0.05,0.5,5.862727272727272,0.03772649944349377,59.402148034026844
7500,1000,5000,3.0,0.05,0.5,5.963636363636363,0.037764135747236936,59.338519150242234
7500,1000,5000,3.0,0.05,0.5,6.064545454545455,0.03780052793500101,59.27638931018422
7500,1000,5000,3.0,0.05,0.5,6.165454545454545,0.037835727761635185,59.2157062905912
7500,1000,5000,3.0,0.05,0.5,6.266363636363636,0.037869784325098535,59.156420373223284
7500,1000,5000,3.0,0.05,0.5,6.367272727272727,0.037902744230901016,59.098484189070824
7500,1000,5000,3.0,0.05,0.5,6.468181818181818,0.037934651744508344,59.0418525745391
7500,1000,5000,3.0,0.05,0.5,6.569090909090908,0.03796554893273828,58.98648243851326
7500,1000,5000,3.0,0.05,0.5,6.67,0.03799547579507105,58.93233263932391
7500,1000,5000,3.0,0.05,0.5,6.7709090909090905,0.038024470385709795,58.87936387073499
7500,1000,5000,3.0,0.05,0.5,6.871818181818181,0.0380525689271479,58.82753855616628
7500,1000,5000,3.0,0.05,0.5,6.972727272727273,0.03807980591592949,58.77682075044245
7500,1000,5000,3.0,0.05,0.5,7.073636363636363,0.03810621422122303,58.72717604843026
7500,1000,5000,3.0,0.05,0.5,7.174545454545454,0.03813182517677621,58.67857149998967
